uf,municipio,categoria,documento,data,fonte,url
AP,Laranjal do Jari,nao_el_nino,Portaria 2.215 (doença viral),07/07/2026,Atlas Público / DOU,
AP,Macapá,plano_elaboracao,Plano de Atendimento Emergencial – Estiagem (PAE 2026) — APRESENTADO em reunião da Defesa Civil municipal (Didec/GCMM) com mapeamento de risco e diagnóstico El Niño; publicação do documento não localizada; GT de transição climática criado,26/08/2026,"Diário do Amapá (imprensa nomeada) reproduzindo apresentação oficial da Didec/GCMM; achado pela bateria negativa (§4.1.2), 2ª execução, 27/08/2026 — julgamento pelas regras codificadas (precedente Belém): documento nomeado não publicado sustenta categoria de processo",
AP,Mazagão,nao_el_nino,Portaria 2.215 (doença viral),07/07/2026,Atlas Público / DOU,
AP,Oiapoque,nao_el_nino,Portaria 2.215 (doença viral),07/07/2026,Atlas Público / DOU,
AP,Santana,nao_el_nino,Portaria 2.215 (doença viral) + reconhecimento por alagamento,07/07/2026,Atlas Público / DOU,
BA,Salvador,plano,Operação Chuva 2026 / PPDC (Codesal),03/2026,Codesal (oficial),https://codesal.salvador.ba.gov.br/noticias/
CE,Fortaleza,plano,Operação Quadra Chuvosa 2026,29/01/2026,"Prefeitura de Fortaleza (anúncio oficial, 28/01/2026)",https://www.fortaleza.ce.gov.br/noticias/prefeitura-de-fortaleza-anuncia-acoes-da-operacao-quadra-chuvosa-de-2026
DF,Brasília,coberto_estadual,"Decreto nº 48.599/2026 (PPCIF/Operação Verde Vivo, recorrente desde 2016) — REGRA DO DF ativada (METODOLOGIA §14, 29/08/2026, primeira aplicação): mesmo instrumento conta para instrumento estadual E cobertura populacional, por acumulação constitucional de competências (CF arts. 32 §1º e 23). Crédito na categoria 'coberto_estadual' (0,3) por ser estrutura recorrente, não plano dedicado ao ciclo.",14/05/2026,SINJ-DF / CBMDF,
ES,Afonso Cláudio,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/AFONSO%20CLAUDIO%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202026.pdf
ES,Alegre,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/ALEGRE%20-%20PLANO%20DE%20CONTIG%C3%8ANCIA%20-%202026.pdf
ES,Alfredo Chaves,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/ALFREDO%20CHAVES%20-%20PLANO%20DE%20CONTIGENCIA%20-2025.pdf
ES,Alto Rio Novo,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/ALTO%20RIO%20NOVO%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Anchieta,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/ANCHIETA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Apiacá,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/APIAC%C3%81%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Aracruz,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/ARACRUZ%20-%20PLANO%20DE%20COMTING%C3%8ANCIA%202026.pdf
ES,Atilio Vivacqua,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/ATILIO%20VIVACQUA%20-%20PLANO%20DE%20CONTINGENCIA%20%20-%202025.pdf
ES,Baixo Guandu,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/BAIXO%20GUANDU%20-%20PLANO%20DE%20CONTINGENCIA%202026.pdf
ES,Barra de São Francisco,plano,PLANCON edição 2025 - 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/BARRA%20DE%20S%C3%83O%20FRANCISCO%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025%20-%202026.pdf
ES,Boa Esperança,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/BOA%20ESPERAN%C3%87A%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202026.pdf
ES,Bom Jesus do Norte,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/BOM%20JESUS%20DO%20NORTE%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Cachoeiro de Itapemirim,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/CACHOEIRO%20DE%20ITAPEMIRIM%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Cariacica,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/CARIACICA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Castelo,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/CASTELO%20-%20PLANO%20CONTINGENCIA%20-%202025-1.pdf
ES,Colatina,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/COLATINA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025-1.pdf
ES,Conceição da Barra,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/CONCEI%C3%87%C3%83O%20DA%20BARRA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Conceição do Castelo,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/CONCEI%C3%87%C3%83O%20DE%20CASTELO%20-%20%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Divino de São Lourenço,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/DIVINO%20DE%20S%C3%83O%20LOUREN%C3%87O%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Ecoporanga,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/ECOPORANGA%20-%20PLANO%20DE%20CONTINGENCIA%20-%202025.pdf
ES,Fundão,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/FUND%C3%83O%20-%20PLANO%20DE%20CONTINGENCIA%20-%202026.pdf
ES,Guarapari,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/GUARAPARI%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Guaçuí,plano,PLANCON edição 2025 - 2028 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/GUA%C3%87U%C3%8D%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025%20-%202028.pdf
ES,Ibatiba,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/IBATIBA%20-%20PLANO%20DE%20CONTINGENCIA%20-2026.pdf
ES,Ibiraçu,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/IBIRA%C3%87U%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Ibitirama,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/IBITIRAMA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202026.pdf
ES,Iconha,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/ICONHA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Irupi,plano,PLANCON edição 2025-2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/IRUPI%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025-2026.pdf
ES,Itaguaçu,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/ITAGUA%C3%87U%C3%8D%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%202025.pdf
ES,Itapemirim,plano,PLANCON edição 2025-2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/ITAPEMIRIM%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025-2026.pdf
ES,Itarana,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/ITARANA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Iúna,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/IUNA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA-%202026.pdf
ES,Jaguaré,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/JAGUAR%C3%89-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Jerônimo Monteiro,plano,PLANCON edição 2022-2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/JER%C3%94NIMO%20MONTEIRO%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202022-2025.pdf
ES,João Neiva,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/JO%C3%83O%20NEIVA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Laranja da Terra,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/LARANJA%20DA%20TERRA%20-%20PLANO%20DE%20CONTIGENCIA%202025.pdf
ES,Linhares,plano,PLANCON edição 2025-2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/LINHARES%20-%20PLANO%20DE%20CONTIG%C3%8ANCIA%20-%202025-2026.pdf
ES,Mantenópolis,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/MANTEN%C3%93POLIS%20-%20PLANO%20%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Marataízes,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/MARATA%C3%8DZES%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202026.pdf
ES,Marechal Floriano,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/MARECHAL%20FLORIANO%20-%20PLANO%20DE%20CONTIG%C3%8ANCIA%20-%202025.pdf
ES,Mimoso do Sul,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/MIMOSO%20DO%20SUL%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202026.pdf
ES,Montanha,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/MONTANHA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Mucurici,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/MUCURICI%20-PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Muniz Freire,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/MUNIZ%20FREIRE-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Muqui,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/MUQUI%20-PLANO%20DE%20CONTING%C3%8ANCIA%20-%202026.pdf
ES,Nova Venécia,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/NOVA%20VEN%C3%89CIA%20-%20PLANO%20DE%20CONTIG%C3%8ANCIA%202025.pdf
ES,Pancas,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/PANCAS%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%20%202025.pdf
ES,Pedro Canário,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/PEDRO%20CAN%C3%81RIO%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Pinheiros,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/PINHEIROS%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202026.pdf
ES,Piúma,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/PI%C3%9AMA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Ponto Belo,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/PONTO%20BELO%20%E2%80%93%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202026.pdf
ES,Presidente Kennedy,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/PRESIDENTE%20KENNEDY%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Rio Novo do Sul,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/RIO%20NOVO%20DO%20SUL%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202026.pdf
ES,Santa Leopoldina,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/SANTA%20LEOPOLDINA%20-%20PLANO%20DE%20CONTINGENCIA%20-%202025.pdf
ES,Santa Maria de Jetibá,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/SANTA%20MARIA%20DE%20JETIB%C3%81%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202026.pdf
ES,Santa Teresa,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/SANTA%20TERESA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Serra,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/SERRA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,Sooretama,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/SOORETAMA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202026.pdf
ES,São Domingos do Norte,plano,PLANCON edição 2026 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/S%C3%83O%20DOMINGOS%20DO%20NORTE%20-%20PLANO%20DE%20CONTIG%C3%8ANCIA%20-%202026.pdf
ES,São Gabriel da Palha,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/S%C3%83O%20GABRIEL%20DA%20PALHA%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,São José do Calçado,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/S%C3%83O%20JOS%C3%89%20DO%20CAL%C3%87ADO%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,São Mateus,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/S%C3%83O%20MATEUS%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
ES,São Roque do Canaã,plano,PLANCON edição 2025 (repositório estadual),26/08/2026,CEPDEC/ES — repositório estadual de planos de contingência municipais,https://defesacivil.es.gov.br/Media/DefesaCivil/Plano%20de%20Contingência%20atualizado/2026/S%C3%83O%20ROQUE%20DO%20CANA%C3%83%20-%20PLANO%20DE%20CONTING%C3%8ANCIA%20-%202025.pdf
